Control command set,,,,,,,,,,,,,,,
,Yellow area represents commonly used commands,"X corresponds to the address bit in the camera menu - communication address. The default address for cameras is 1, so all commands start with 81.
If multiple cameras need to be controlled, set different address bits for each camera in the camera's menu - settings. Then, based on the current address bit X (number) of the camera, send commands in the 8X format, such as 82, 83, and so on.
Other parameters are usually set as com, 9600.
If sending control commands through the network port, address bits are not considered because each camera has a different IP address. Network communication is done based on the IP address.

When moving up and down, WW represents the speed level from 1 to 18, and VV represents the movement distance.

When moving left and right, VV represents the speed level from 1 to 14, and WW represents the movement distance.

Example: For an upward movement (Up format), the command 8x 01 06 01 VV WW 03 01 FF can be modified to 81 01 06 01 05 05 03 01 FF.
Here, 1 represents the address bit of the camera to be controlled, and 05 05 represents the speed level and movement distance.""",,,,,,,,,,,,,
No.,Function,Test category,Send commands ,Description,Serial port result,Result description,Network port result,Result description,,,,,,,
1,AddressSet,Broadcast,88 30 01 FF,Address setting,OK,,OK,,,,,,,,
2,CAM_Power?Power switch?,On,8x 01 04 00 02 FF,Power ON/OFF,OK,,OK,On,,,,,,,
,,Off,8x 01 04 00 03 FF,,OK,,OK,Off,,,,,,,
3,CAM_Zoom?Zoom?,Stop,8x 01 04 07 00 FF,,OK,,OK,zoom,,,,,,,
,,Tele(Standard),8x 01 04 07 02 FF,,OK,,OK,"Fixed-speed zoom, the lens zooms in",,,,,,,
,,Wide(Standard),8x 01 04 07 03 FF,,OK,,OK,"Fixed speed zoom, zoom out",,,,,,,
,,Tele(Variable),8x 01 04 07 2p FF,p = 0(low) - 7(high),OK,,OK,"Variable speed zoom, the lens is zoomed in; p is the variable speed variable parameter; such as 81 01 04 07 29 FF",,,,,,,
,,Wide(Variable),8x 01 04 07 3p FF,,OK,,OK,"Variable speed zoom, the lens zooms out; p is the variable parameter of zoom speed; such as 81 01 04 07 30 FF",,,,,,,
,,Direct,8x 01 04 47 0p 0q 0r 0s FF,pqrs: Zoom Position Maximum pqrs: 4000,OK,,OK,"All commands must be entered manually, such as
81 01 04 47 01 01 01 02 FF",,,,,,,
4,CAM_Focus(Focus),Stop,8x 01 04 08 00 FF,,OK,,OK,Set to manual focus mode first,,,,,,,
,,Far(Standard),8x 01 04 08 02 FF ,,OK,,OK,far (standard),,,,,,,
,,Near(Standard),8x 01 04 08 03 FF,,OK,,OK,close,,,,,,,
,,Far(Variable),8x 01 04 08 2p FF,p = 0(low) - 7(high),OK,,OK,far (variable),,,,,,,
,,Near(Variable),8x 01 04 08 3p FF,,OK,,OK,close,,,,,,,
,,Direct,8x 01 04 48 0p 0q 0r 0s FF,pqrs: Focus Position,OK,,OK,,,,,,,,
,,Auto Focus,8x 01 04 38 02 FF,AF On/Off,OK,,OK,auto,,,,,,,
,,Manual Focus,8x 01 04 38 03 FF,,OK,,OK,manaul,,,,,,,
,,Auto/Manual,8x 01 04 38 10 FF,,OK,,OK,,,,,,,,
5,CAM_WB(White balance),Auto,8x 01 04 35 00 FF,Normal Auto,OK,,OK,Corresponding menu white balance items,,,,,,,
,,Indoor mode,8x 01 04 35 01 FF,Indoor mode,OK,,OK,,,,,,,,
,,Outdoor mode,8x 01 04 35 02 FF,Outdoor mode,OK,,OK,,,,,,,,
,,OnePush mode ,8x 01 04 35 03 FF,One Push WB mode,OK,,OK,one-click,,,,,,,
,,Manual,8x 01 04 35 05 FF,Manual Control mode,OK,,OK,,,,,,,,
